N° de Local,Nombre,Apertura,Cierre,Día Semana 1,Fecha 1,Día
NP-2,XIC-XOC,11:49,07:58,DOMINGO,2024-09-01,Domingo
NP-2,XIC-XOC,09:48,08:59,LUNES,2024-09-02,Lunes
NP-2,XIC-XOC,09:03,09:03,MARTES,2024-09-03,Martes
NP-2,XIC-XOC,09:16,09:00,MIÉRCOLES,2024-09-04,Miércoles
NP-2,XIC-XOC,08:43,09:01,JUEVES,2024-09-05,Jueves
NP-2,XIC-XOC,09:37,09:00,VIERNES,2024-09-06,Viernes
NP-2,XIC-XOC,09:27,08:59,SÁBADO,2024-09-07,Sábado
NP-2,XIC-XOC,11:52,08:09,DOMINGO,2024-09-08,Domingo
NP-2,XIC-XOC,09:40,09:08,LUNES,2024-09-09,Lunes
NP-2,XIC-XOC,09:52,09:03,MARTES,2024-09-10,Martes
NP-2,XIC-XOC,09:37,09:01,MIÉRCOLES,2024-09-11,Miércoles
NP-2,XIC-XOC,09:46,09:04,JUEVES,2024-09-12,Jueves
NP-2,XIC-XOC,09:55,09:02,SÁBADO,2024-09-14,Sábado
NP-2,XIC-XOC,09:31,08:59,DOMINGO,2024-09-15,Domingo
NP-2,XIC-XOC,09:40,08:58,LUNES,2024-09-16,Lunes
NP-2,XIC-XOC,09:47,09:04,MARTES,2024-09-17,Martes
NP-2,XIC-XOC,09:50,09:05,MIÉRCOLES,2024-09-18,Miércoles
NP-2,XIC-XOC,09:24,08:59,JUEVES,2024-09-19,Jueves
NP-2,XIC-XOC,09:57,09:02,VIERNES,2024-09-20,Viernes
NP-2,XIC-XOC,09:09,09:01,SÁBADO,2024-09-21,Sábado
NP-2,XIC-XOC,12:12,07:57,DOMINGO,2024-09-22,Domingo
NP-2,XIC-XOC,08:57,09:01,LUNES,2024-09-23,Lunes
NP-2,XIC-XOC,09:04,09:00,MARTES,2024-09-24,Martes
NP-2,XIC-XOC,09:02,09:02,MIÉRCOLES,2024-09-25,Miércoles
NP-2,XIC-XOC,09:07,09:01,JUEVES,2024-09-26,Jueves
NP-2,XIC-XOC,09:25,09:02,VIERNES,2024-09-27,Viernes
NP-2,XIC-XOC,09:15,08:57,SÁBADO,2024-09-28,Sábado
NP-2,XIC-XOC,11:54,08:03,DOMINGO,2024-09-29,Domingo
NP-2,XIC-XOC,09:33,09:02,LUNES,2024-09-30,Lunes
NP-3,PAVITA'S,11:22,08:00,DOMINGO,2024-09-01,Domingo
NP-3,PAVITA'S,09:48,09:05,LUNES,2024-09-02,Lunes
NP-3,PAVITA'S,09:55,09:04,MARTES,2024-09-03,Martes
NP-3,PAVITA'S,09:40,09:00,MIÉRCOLES,2024-09-04,Miércoles
NP-3,PAVITA'S,10:08,09:06,JUEVES,2024-09-05,Jueves
NP-3,PAVITA'S,09:43,09:00,VIERNES,2024-09-06,Viernes
NP-3,PAVITA'S,09:45,09:00,SÁBADO,2024-09-07,Sábado
NP-3,PAVITA'S,11:34,08:04,DOMINGO,2024-09-08,Domingo
NP-3,PAVITA'S,09:47,09:04,LUNES,2024-09-09,Lunes
NP-3,PAVITA'S,09:52,08:59,MARTES,2024-09-10,Martes
NP-3,PAVITA'S,09:53,09:15,MIÉRCOLES,2024-09-11,Miércoles
NP-3,PAVITA'S,99:58,09:04,JUEVES,2024-09-12,Jueves
NP-3,PAVITA'S,09:38,09:03,SÁBADO,2024-09-14,Sábado
NP-3,PAVITA'S,09:49,09:02,DOMINGO,2024-09-15,Domingo
NP-3,PAVITA'S,09:49,09:01,LUNES,2024-09-16,Lunes
NP-3,PAVITA'S,09:53,09:03,MARTES,2024-09-17,Martes
NP-3,PAVITA'S,09:51,09:05,MIÉRCOLES,2024-09-18,Miércoles
NP-3,PAVITA'S,09:58,09:00,JUEVES,2024-09-19,Jueves
NP-3,PAVITA'S,09:48,09:03,VIERNES,2024-09-20,Viernes
NP-3,PAVITA'S,09:49,09:01,SÁBADO,2024-09-21,Sábado
NP-3,PAVITA'S,11:42,08:02,DOMINGO,2024-09-22,Domingo
NP-3,PAVITA'S,09:57,09:03,LUNES,2024-09-23,Lunes
NP-3,PAVITA'S,09:58,09:00,MARTES,2024-09-24,Martes
NP-3,PAVITA'S,09:54,09:00,MIÉRCOLES,2024-09-25,Miércoles
NP-3,PAVITA'S,09:58,09:03,JUEVES,2024-09-26,Jueves
NP-3,PAVITA'S,10:07,09:03,VIERNES,2024-09-27,Viernes
NP-3,PAVITA'S,09:58,08:59,SÁBADO,2024-09-28,Sábado
NP-3,PAVITA'S,11:52,08:05,DOMINGO,2024-09-29,Domingo
NP-3,PAVITA'S,09:43,09:02,LUNES,2024-09-30,Lunes
NP-4,OPTICOLOR ,11:57,08:20,DOMINGO,2024-09-01,Domingo
NP-4,OPTICOLOR ,09:34,09:17,LUNES,2024-09-02,Lunes
NP-4,OPTICOLOR ,09:40,09:34,MARTES,2024-09-03,Martes
NP-4,OPTICOLOR ,09:44,09:06,MIÉRCOLES,2024-09-04,Miércoles
NP-4,OPTICOLOR ,10:03,09:18,JUEVES,2024-09-05,Jueves
NP-4,OPTICOLOR ,09:49,09:09,VIERNES,2024-09-06,Viernes
