N° de Local,Nombre,Apertura,Cierre,Día Semana 1,Fecha 1,Día
NP-2,XIC-XOC,09:03,09:03,MARTES,2024-10-01,Martes
NP-2,XIC-XOC,09:02,09:00,MIÉRCOLES,2024-10-02,Miércoles
NP-2,XIC-XOC,09:00,09:00,JUEVES,2024-10-03,Jueves
NP-2,XIC-XOC,09:41,08:57,VIERNES,2024-10-04,Viernes
NP-2,XIC-XOC,09:00,09:02,SÁBADO,2024-10-05,Sábado
NP-2,XIC-XOC,11:36,08:00,DOMINGO,2024-10-06,Domingo
NP-2,XIC-XOC,09:47,08:57,LUNES,2024-10-07,Lunes
NP-2,XIC-XOC,09:43,09:02,MARTES,2024-10-08,Martes
NP-2,XIC-XOC,09:43,09:03,MIÉRCOLES,2024-10-09,Miércoles
NP-2,XIC-XOC,09:28,09:03,JUEVES,2024-10-10,Jueves
NP-2,XIC-XOC,09:44,09:01,VIERNES,2024-10-11,Viernes
NP-2,XIC-XOC,09:38,09:02,SÁBADO,2024-10-12,Sábado
NP-2,XIC-XOC,12:27,08:00,DOMINGO,2024-10-13,Domingo
NP-2,XIC-XOC,09:38,09:01,LUNES,2024-10-14,Lunes
NP-2,XIC-XOC,08:48,09:00,MARTES,2024-10-15,Martes
NP-2,XIC-XOC,09:07,08:58,MIÉRCOLES,2024-10-16,Miércoles
NP-2,XIC-XOC,09:13,09:03,JUEVES,2024-10-17,Jueves
NP-2,XIC-XOC,08:59,09:01,VIERNES,2024-10-18,Viernes
NP-2,XIC-XOC,08:56,09:33,SÁBADO,2024-10-19,Sábado
NP-2,XIC-XOC,11:11,08:00,DOMINGO,2024-10-20,Domingo
NP-2,XIC-XOC,09:11,09:00,LUNES,2024-10-21,Lunes
NP-2,XIC-XOC,08:33,08:59,MARTES,2024-10-22,Martes
NP-2,XIC-XOC,09:06,09:01,MIÉRCOLES,2024-10-23,Miércoles
NP-2,XIC-XOC,08:54,09:00,JUEVES,2024-10-24,Jueves
NP-2,XIC-XOC,09:24,08:57,VIERNES,2024-10-25,Viernes
NP-2,XIC-XOC,09:13,09:08,SÁBADO,2024-10-26,Sábado
NP-2,XIC-XOC,11:48,08:02,DOMINGO,2024-10-27,Domingo
NP-2,XIC-XOC,09:08,08:57,LUNES,2024-10-28,Lunes
NP-2,XIC-XOC,09:20,09:02,MARTES,2024-10-29,Martes
NP-2,XIC-XOC,09:00,09:00,MIÉRCOLES,2024-10-30,Miércoles
NP-2,XIC-XOC,09:09,09:14,JUEVES,2024-10-31,Jueves
NP-3,PAVITA'S,09:47,09:00,MARTES,2024-10-01,Martes
NP-3,PAVITA'S,09:56,09:06,MIÉRCOLES,2024-10-02,Miércoles
NP-3,PAVITA'S,10:03,09:03,JUEVES,2024-10-03,Jueves
NP-3,PAVITA'S,09:47,09:03,VIERNES,2024-10-04,Viernes
NP-3,PAVITA'S,09:47,09:07,SÁBADO,2024-10-05,Sábado
NP-3,PAVITA'S,11:43,08:01,DOMINGO,2024-10-06,Domingo
NP-3,PAVITA'S,09:49,09:00,LUNES,2024-10-07,Lunes
NP-3,PAVITA'S,09:44,09:04,MARTES,2024-10-08,Martes
NP-3,PAVITA'S,09:22,09:07,MIÉRCOLES,2024-10-09,Miércoles
NP-3,PAVITA'S,09:50,09:01,JUEVES,2024-10-10,Jueves
NP-3,PAVITA'S,09:54,09:07,VIERNES,2024-10-11,Viernes
NP-3,PAVITA'S,09:43,09:00,SÁBADO,2024-10-12,Sábado
NP-4,OPTICOLOR ,09:49,09:07,MARTES,2024-10-01,Martes
NP-4,OPTICOLOR ,09:49,09:06,MIÉRCOLES,2024-10-02,Miércoles
NP-4,OPTICOLOR ,09:49,09:07,JUEVES,2024-10-03,Jueves
NP-4,OPTICOLOR ,10:07,09:02,VIERNES,2024-10-04,Viernes
NP-4,OPTICOLOR ,09:52,09:55,SÁBADO,2024-10-05,Sábado
NP-4,OPTICOLOR ,11:49,08:18,DOMINGO,2024-10-06,Domingo
NP-4,OPTICOLOR ,10:23,09:19,LUNES,2024-10-07,Lunes
NP-4,OPTICOLOR ,09:58,09:14,MARTES,2024-10-08,Martes
NP-4,OPTICOLOR ,09:32,10:10,MIÉRCOLES,2024-10-09,Miércoles
NP-4,OPTICOLOR ,09:58,09:17,JUEVES,2024-10-10,Jueves
NP-4,OPTICOLOR ,09:48,09:13,VIERNES,2024-10-11,Viernes
NP-4,OPTICOLOR ,09:50,09:27,SÁBADO,2024-10-12,Sábado
NP-4,OPTICOLOR ,11:32,08:00,DOMINGO,2024-10-13,Domingo
NP-4,OPTICOLOR ,10:10,09:08,LUNES,2024-10-14,Lunes
NP-4,OPTICOLOR ,08:53,09:04,MARTES,2024-10-15,Martes
NP-4,OPTICOLOR ,10:08,09:25,MIÉRCOLES,2024-10-16,Miércoles
NP-4,OPTICOLOR ,09:54,09:16,JUEVES,2024-10-17,Jueves
NP-4,OPTICOLOR ,09:24,09:04,VIERNES,2024-10-18,Viernes
NP-4,OPTICOLOR ,09:52,09:34,SÁBADO,2024-10-19,Sábado
NP-4,OPTICOLOR ,11:52,08:30,DOMINGO,2024-10-20,Domingo
NP-4,OPTICOLOR ,09:42,09:25,LUNES,2024-10-21,Lunes
NP-4,OPTICOLOR ,09:51,09:05,MARTES,2024-10-22,Martes
NP-4,OPTICOLOR ,10:07,09:21,MIÉRCOLES,2024-10-23,Miércoles
NP-4,OPTICOLOR ,10:04,09:19,JUEVES,2024-10-24,Jueves
NP-4,OPTICOLOR ,09:40,09:07,VIERNES,2024-10-25,Viernes
NP-4,OPTICOLOR ,09:33,09:16,SÁBADO,2024-10-26,Sábado
NP-4,OPTICOLOR ,11:40,08:38,DOMINGO,2024-10-27,Domingo
NP-4,OPTICOLOR ,09:10,09:08,LUNES,2024-10-28,Lunes
NP-4,OPTICOLOR ,09:48,09:20,MARTES,2024-10-29,Martes
NP-4,OPTICOLOR ,10:24,09:24,MIÉRCOLES,2024-10-30,Miércoles
NP-4,OPTICOLOR ,10:12,10:20,JUEVES,2024-10-31,Jueves
NP-5,FRANCIAS BOUTIQUE,08:57,09:00,MARTES,2024-10-01,Martes
NP-5,FRANCIAS BOUTIQUE,09:28,09:05,MIÉRCOLES,2024-10-02,Miércoles
NP-5,FRANCIAS BOUTIQUE,09:30,09:27,JUEVES,2024-10-03,Jueves
NP-5,FRANCIAS BOUTIQUE,08:51,09:21,VIERNES,2024-10-04,Viernes
NP-5,FRANCIAS BOUTIQUE,09:18,09:25,SÁBADO,2024-10-05,Sábado
NP-5,FRANCIAS BOUTIQUE,11:24,08:01,DOMINGO,2024-10-06,Domingo
NP-5,FRANCIAS BOUTIQUE,08:54,09:03,LUNES,2024-10-07,Lunes
NP-5,FRANCIAS BOUTIQUE,09:40,09:06,MARTES,2024-10-08,Martes
NP-5,FRANCIAS BOUTIQUE,09:49,09:10,MIÉRCOLES,2024-10-09,Miércoles
NP-5,FRANCIAS BOUTIQUE,09:49,09:05,JUEVES,2024-10-10,Jueves
NP-5,FRANCIAS BOUTIQUE,09:56,09:08,VIERNES,2024-10-11,Viernes
